Year,Mo,Dy,Hr,Mn,Sec,Tsu,Name,Lat,Long,focal depth,Mag,MMI Int,Deaths,Det,Injuries,Det,Damage Mill$,Det,Houses Destoyed,Det,Houses Damaged,Det
2003,3,25,2,53,25,,INDONESIA: FLORES: REO,-8.294,120.743,33,6.5,,4,1,20,1,,1,,,,2
2003,3,25,18,51,26.3,,BHUTAN: PHUENTSHOLING,27.264,89.331,47,5.5,,,,,,,1,,,,
2003,4,10,0,40,15.1,,TURKEY: IZMIR/ SEFERIHISAR,38.221,26.958,10,5.7,,,,90,2,,2,,2,,2
2003,4,17,0,48,38.5,,CHINA: QINGHAI PROVINCE: DELINGHA,37.529,96.476,14,6.4,,,,,,,1,45,1,45,1
2003,4,29,8,59,39,,ALABAMA: FORT PAYNE/ GAYLESVILLE/ VALLEY HEAD,34.494,-85.629,20,4.6,6,,,,,,1,,,,
2003,5,1,0,27,4.7,,TURKEY: BINGOL,39.007,40.464,10,6.4,,177,3,521,3,,3,718,3,718,3
2003,5,4,15,44,35.5,,CHINA: S. XINJIANG: YOPURGA,39.43,77.219,10,5.8,,1,1,3,1,,3,1600,4,,
2003,5,21,18,44,20.1,Tsu,ALGERIA: ALGIERS/ BOUMERDES/ REGHIA/ THENIA,36.964,3.634,12,6.8,10,2266,4,10261,4,5000,4,43000,4,43000,4
2003,5,26,9,24,33.4,,JAPAN: HONSHU: IWATE/ MIYAGI/ YAMAGATA/ AKITA,38.849,141.568,68,7,,,,143,3,233,4,,,720,3
2003,5,26,19,23,27.9,,INDONESIA: MOROTAI/ BEREBERE/ DARUBA,2.354,128.855,31,7,,1,1,7,1,,1,28,1,20,1
2003,5,27,17,11,28.8,Tsu,ALGERIA: ALGIERS/ BOUMERDES/ REGHAIA,36.939,3.578,8,5.7,,9,1,200,3,,2,,3,,
2003,6,6,12,29,34,,KENTUCKY: BARDWELL,36.87,-88.98,3,4,6,,,,,,1,,,,
2003,6,9,7,6,39.3,,GREECE: GONNOI/ LARISA,39.893,22.309,18,5.2,,,,,,,1,,,50,1
2003,6,20,13,30,41.6,,CHILE: OVALLE/ COQUIMBO; ARGENTINA: SAN JUAN,-30.608,-71.637,33,6.8,6,,,1,1,,1,,,,2
2003,7,3,14,59,32.2,,IRAN: NORTHEASTERN: YAKHAK/ BASHIRABAD/ BUTEHGAZ,35.476,60.784,41,5.2,,,,,,,1,,,,
2003,7,10,17,6,37.6,,IRAN: SOUTHERN: GAJJIABAD,28.355,54.169,10,5.8,,1,1,25,1,,3,3500,4,3500,4
2003,7,15,20,27,50.5,,INDIAN OCEAN: FELT IN MALDIVES,-2.598,68.382,10,7.6,,,,,,,,,,,
2003,7,21,15,16,31.9,,CHINA: YUNNAN PROVINCE,25.975,101.29,10,5.9,,16,1,584,3,75,4,264878,4,264878,4
2003,7,25,15,13,7.7,,JAPAN: HONSHU: MIYAGI/ IWATE,38.432,141.003,10,5.5,,,,569,3,411,4,,,1025,4
2003,7,26,1,0,57.6,,TURKEY: WESTERN: BULDAN,38.111,28.887,10,4.5,,,,,2,,1,,,,
2003,7,26,8,36,49.1,,TURKEY: WESTERN: BULDAN,38.019,28.927,10,5.4,,,,10,1,,1,1,1,1,1
2003,7,26,23,18,17.9,,BANGLADESH: RANGAMATI,22.854,92.306,10,5.7,,2,1,25,1,,2,500,3,,
2003,8,4,4,37,20.1,,SCOTIA SEA: SOUTH ORKNEY ISLANDS: LAURIE IS,-60.532,-43.411,10,7.6,,,,,,,1,,,,
2003,8,11,0,19,9.2,,INDONESIA: HALMAHERA: WASILE,1.142,128.152,10,6,,,,,,,2,,,200,3
2003,8,13,8,29,27.2,,PANAMA: COLON/ PANAMA CITY,9.355,-79.941,54,5.4,,,,,,,1,,,,
2003,8,14,5,14,54.7,,GREECE: LEFKADA/ PREVEZA,39.16,20.605,10,6.3,,,,50,1,,2,,,,2
2003,8,16,10,58,42.7,,CHINA: NEI MONGOL: LINDONG/ TIANSHAN,43.77,119.643,24,5.4,,4,1,1000,3,,3,7900,3,,
2003,8,18,9,3,3.5,,CHINA: TIBET (XIZANG PROVINCE): BOMI/ MEDOG/ NYINGCHI,29.573,95.605,33,5.5,,,,,,,1,,,,
2003,8,21,12,12,49.7,Tsu,NEW ZEALAND: DUNEDIN/INVERCARGILL/ TE ANAU/ FIORDLAND,-45.104,167.144,28,7.2,,,,,,,1,,,,
2003,9,14,21,42,51.8,,ITALY: LOIANO/ MONGHIDORO/ MONZUNO,44.329,11.45,10,5.3,7,,,,2,,1,,,10,1
2003,9,20,3,54,50.7,,JAPAN: HONSHU: TOKYO,34.998,140.172,52,5.7,,,,7,1,,1,,,,2
2003,9,21,18,16,13.4,,MYANMAR (BURMA): TAUNGDWINGYI; THAILAND: BANGKOK,19.917,95.672,10,6.6,,,,,,,1,,,,2
2003,9,22,4,45,36.2,,DOMINICAN REPUBLIC: PUERTO PLATA/ SANTIAGO,19.777,-70.673,10,6.4,10,3,1,15,1,,3,,3,,
2003,9,25,19,50,6.3,Tsu,JAPAN: HOKKAIDO,41.815,143.91,27,8.3,,,,755,3,90,4,,,,
2003,9,27,11,33,25,,RUSSIA: KOSH-AGACH/ UST'-ULAGAN/ ONGUDAI/ SHEBALINO,50.038,87.813,16,7.3,10,3,1,5,1,10.6,3,300,3,,
2003,9,29,15,27,1,,RUSSIA: KOSH-AGACH,50,87.89,10,4.4,,,,,,,1,,,,
2003,9,29,18,22,32,,NEW ZEALAND: CHRISTCHURCH,-43.34,173.04,32,4.8,,,,,,,1,,,,
2003,10,1,1,3,25.2,,RUSSIA: KOSH-AGACH/ BARNAUL/ GORNO-ALTAYSK,50.211,87.721,10,6.7,,,,,,,1,,,,1
2003,10,15,7,30,35.9,,JAPAN: NEAR S COAST HONSHU: ATSUGI,35.457,139.871,78,5.2,,,,,,,1,,,,
2003,10,16,3,20,55.3,,DOMINICAN REPUBLIC: MOCA/ SANTIAGO,19.761,-70.693,10,4.5,,,,,,,1,,,,1
2003,10,16,12,28,9,,CHINA: YUNNAN PROVINCE: DAYAO,25.954,101.254,33,5.6,,3,1,32,1,,3,12000,4,12000,4
2003,10,25,12,41,35.2,,CHINA: GANSU PROVINCE: MINLE/ SHANDAN,38.4,100.951,10,5.8,,9,1,43,1,40,4,10000,4,,
2003,10,31,1,6,28.2,Tsu,JAPAN: EAST COAST HONSHU,37.812,142.619,10,7,,,,,,,,,,,
2003,11,13,2,35,10.3,,CHINA: GANSU PROVINCE: JONE/ LINTAN/ MINXIAN,34.712,103.834,10,5.1,,1,1,30,1,,1,10,1,,
2003,11,14,18,49,46.5,,CHINA: YUNNAN PROVINCE: LUDIAN/ ZHAOTONG,27.372,103.971,33,5.6,,4,1,65,1,,2,600,3,600,3
2003,11,17,6,43,6.8,Tsu,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,51.146,178.65,33,7.8,,,,,,,,,,,
2003,11,18,17,14,22.6,,PHILIPPINES: SAMAR: CAN-AVID,12.025,125.416,35,6.5,7,1,1,21,1,,2,1,1,,3
2003,11,26,13,38,57.8,,CHINA: YUNNAN PROVINCE: LUDIAN,27.283,103.753,33,4.7,,,,4,1,,4,2000,4,2000,4
2003,12,1,1,38,31.9,,CHINA: XINJIANG: ZHAOSU,42.905,80.515,10,6,,11,1,47,1,,3,769,3,,
2003,12,5,23,41,27.4,,INDONESIA: FLORES/ RUTENG,-8.137,120.524,33,4.9,,,,,,,1,,,,1
2003,12,10,4,38,11.5,,TAIWAN: T'AI-TUNG/ KAO-HSIUN,23.039,121.362,10,6.8,,,,1,1,,1,,,,
2003,12,11,16,28,17.3,,IRAN: WESTERN: MASJED-E- SOLEYMAN,31.953,49.209,33,5,,,0,5,1,,1,2,1,2,1
2003,12,17,23,15,17.2,,BULGARIA: POVADIYA,43.083,27.486,34,4.4,,,,,,,2,10,1,10,1
2003,12,22,19,15,56,,CALIFORNIA: PASO ROBLES/ TEMPLETON/ ATASCADERO,35.706,-121.102,8,6.6,8,2,1,40,1,300,4,40,1,,
2003,12,25,7,11,11.5,,PANAMA-COSTA RICA: PUERTO ARMUELLES,8.416,-82.824,33,6.5,,2,1,75,2,,2,,,,3
2003,12,26,1,56,52.4,,IRAN: SOUTHEASTERN: BAM/ BARAVAT,28.995,58.311,10,6.6,9,31000,4,30000,4,32.7,4,,4,,4
2003,12,27,4,55,25.4,Tsu,NEW CALEDONIA: LOYALTY ISLANDS,-22.107,169.35,10,6.1,,,,,,,,,,,
2004,1,1,20,59,31.9,,INDONESIA: BALI/ LOMBOK,-8.31,115.788,45,5.8,6,1,1,29,1,,4,6000,4,,
2004,1,1,23,31,50,,MEXICO: GUERRERO/ MEXICO CITY,17.488,-101.303,29,6.1,,,,,,,1,,,,
2004,1,10,7,43,18,,SLOVAKIA: SLOVENSKO L'UPCA,48.758,19.217,5,2.2,,,,,,,1,,,,
2004,1,10,18,38,14.8,,ALGERIA: NORTHERN: ALGIERS/ BOUMERDES,36.852,3.418,10,4.4,,,,300,3,,1,,,,
2004,1,14,16,58,48.1,,IRAN: SOUTHERN: FIRUZABAD,27.695,52.397,12,5.2,,,,,,,1,,,,
2004,1,28,22,15,30.7,Tsu,INDONESIA: SERAM,-3.12,127.4,17,6.7,,,,,,,,,,,
2004,2,4,11,59,47.6,,PANAMA-COSTA RICA: CHIRIQUI,8.358,-82.877,29,6.1,,,,4,1,,1,,,,
2004,2,5,21,5,2.8,,INDONESIA: NABIRE,-3.615,135.538,17,7,,37,1,682,3,,4,2678,4,,
2004,2,7,2,42,35.2,,INDONESIA: NABIRE,-4.003,135.023,10,7.3,,,,,,,1,,,,
2004,2,11,8,15,3.8,Tsu,JORDAN: MA'IN; ISRAEL: JERUSALEM/ PETAH-TIQWA,31.675,35.551,27,5.3,,,,4,1,,2,,,,2
2004,2,14,10,30,22.1,,PAKISTAN: BALAKOT/ BATGRAM/ MANSEHRA,34.774,73.216,11,5.4,,24,1,40,1,,3,1420,4,1420,4
2004,2,16,14,44,39.9,,INDONESIA: SUMATRA: PADANGPANJANG,-0.466,100.655,56,5.1,,5,1,7,1,,1,,,,
2004,2,22,6,46,27,,INDONESIA: SUMATRA: PESISIR SELATAN,-1.559,100.488,42,6,,,,1,1,,1,,,,
2004,2,24,2,14,34,,BURUNDI: RUYAGA,-3.393,29.558,10,4.7,,3,1,,,,1,24,1,,
2004,2,24,2,27,46.2,,MOROCCO: AL HOCEIMA/ IMZOURENE/ BENI ABDALLAH,35.142,-3.997,0,6.4,9,628,3,926,3,,4,2539,4,,
2004,3,1,0,35,58,,GREECE: SOUTHERN: KALAMATA,37.136,22.116,9,5.2,,,,,,,1,,,,1
2004,3,24,1,53,49.4,,CHINA: NEI MONGOL: BAYAN UL HOT/ ULIASTAI,45.382,118.256,19,5.4,,,,100,2,74,4,38000,4,,
2004,3,25,19,30,49,,TURKEY: ERZURUM,39.93,40.812,,5.6,,10,1,46,1,,1,45,1,45,1
2004,3,28,3,51,10,,TURKEY: ASKALE,39.847,40.874,5,5.6,,,,12,1,,1,50,1,50,1
2004,4,5,21,24,4,,AFGHANISTAN: HINDU KUSH: KABUL/ SAMANGAN; PAKISTAN,36.512,71.029,187,6.5,,3,1,5,1,,,,,,
2004,4,9,1,55,50.7,,INDONESIA: SUMATRA: PADANG,-1.549,100.54,66,5.4,,,,,,,1,,,,
2004,4,16,18,32,24,,INDONESIA: BALI,-8.669,114.65,96,5.5,,,,,,,1,,,,1
2004,4,23,1,50,30.2,,INDONESIA: TIMOR: KUPANG,-9.362,122.839,66,6.7,,,,,,,1,,,,
2004,5,1,7,56,13.6,,TAIWAN: HUALIEN: TAROKO GORGE NATIONAL PARK,24.081,121.611,45,5.2,,2,1,1,1,,1,,,,
2004,5,3,4,36,50,,CHILE: CANETE,-37.695,-73.406,21,6.6,6,,,,,,1,,,,
2004,5,4,5,4,58.3,,CHINA: QINGHAI PROVINCE: DELINGHA,37.506,96.758,14,5.4,,,,,,,3,,,,
2004,5,8,4,39,25,,IRAN: KAZERUN,29.881,51.474,67,5,,,,,,,1,4,1,4,1
2004,5,8,20,11,44.2,,PAKISTAN: QUETTA,30.126,67.121,10,4.5,,1,1,30,1,,1,,,,
2004,5,19,21,28,10.6,,PHILIPPINES: BOHOL ISLAND: TUBIGON,9.926,124.038,35,4.1,6,,,,,,1,,,,
2004,5,28,12,38,44.4,,IRAN: MAZANDARAN/ QAZVIN/ TEHRAN,36.29,51.61,17,6.3,,35,1,400,3,,3,,,,
2004,5,30,2,52,12.2,,RUSSIA: SAKHALIN/ YUZHNO/ SAKHALINSK,47.311,142.12,14,4.9,,,,,,,1,,,46,1
2004,6,9,11,41,16.5,,SAUDI ARABIA: WESTERN,27.836,36.905,10,4.6,,,,,,,1,,,,
2004,6,15,11,16,31.5,,CHILE: CARAHUE/ IMPERIAL/ TEMUCO,-38.854,-73.155,38,5.9,6,,,,,,1,,,,
2004,7,1,22,30,9.3,,TURKEY: DOGUBEYAZIT,39.766,43.979,5,5.1,,18,1,21,1,,,,,,
2004,7,12,13,4,7.1,,SLOVENIA: BOVEC/ KOBARID,46.296,13.641,8,5.2,,1,1,5,1,,1,,1,,1
2004,7,14,14,36,2.5,,AFGHANISTAN: HERAT,34.89,61.852,,4.6,,,,,,,2,,,,
2004,7,18,4,22,22.6,,NEW ZEALAND: NORTH ISLAND: ROTORUA/ TAURANGA,-38,176.51,5,5.4,,1,1,2,1,,2,,,5,1
2004,7,18,8,31,45.8,,AFGHANISTAN: PAKTIA PROVINCE,33.426,69.524,10,5.2,,2,1,40,1,,3,,3,,3
2004,7,30,7,14,7.8,,TURKEY: DOGUBEYAZIT,39.634,43.966,5,4,,1,1,5,1,,1,,,,
2004,8,4,3,1,7.5,,TURKEY: BODRUM,36.833,27.815,10,5.6,,,,15,1,,,,,,
2004,8,10,10,26,14.7,,CHINA: YUNNAN PROVINCE: LUDIAN,27.266,103.873,6,5.4,,4,1,600,3,,4,18556,4,18556,4
2004,8,11,15,48,26.8,,TURKEY: ELAZIG/ SIVRICE,38.377,39.261,7,5.7,,1,1,11,1,,1,,,,
2004,9,5,10,7,7.8,Tsu,JAPAN: HONSHU: W COAST: KYOTO,33.07,136.618,14,7.2,,,,4,1,,1,,,,
2004,9,5,14,57,18.6,Tsu,JAPAN: HONSHU: W COAST: KYOTO/ WAKAYAMA/ SAKAI,33.184,137.071,10,7.4,,,,40,1,,1,,,,
2004,9,7,11,53,6.1,,ARGENTINA: CATAMARCA,-28.573,-65.84,22,6.1,,1,1,,2,,1,,2,,2
2004,9,7,12,15,49.7,,CHINA: GANSU PROVINCE,34.682,103.781,10,5.2,,,,19,1,,3,600,3,,
2004,9,21,13,32,30.8,,POLAND: SUWALKI; RUSSIA: KALININGRAD/ SVETLOGORSK,54.841,19.912,10,4.8,6,,,3,1,,1,,,,
2004,9,28,17,15,24.2,,CALIFORNIA: CENTRAL: PARKFIELD/ SAN MIGUEL,35.819,-120.364,9,6,6,,,,,,1,,,,
2004,10,1,8,1,1.3,,NICARAGUA: CHINANDEGA/ LEON,11.989,-86.52,87,5.6,,,,,,,1,,,,
2004,10,7,21,46,20.3,,IRAN: GOLESTAN,37.125,54.477,35,5.6,,,,60,2,,,,,,
2004,10,15,4,8,50.2,,TAIWAN: T'AO-YUAN,24.53,122.694,94,6.6,,,,,2,,1,,,,
2004,10,18,22,11,44.9,,CHINA: YUNNAN PROVINCE: BAOSHAN,25.073,99.169,30,4.4,,,,12,1,,3,20000,4,20000,4
2004,10,23,8,56,0.8,,JAPAN: HONSHU: NIIGATA PREFECTURE,37.226,138.779,16,6.6,,40,1,3183,4,28000,4,6000,4,,
2004,10,27,1,40,50.2,,JAPAN: HONSHU: NIIGATA PREFECTURE,37.284,138.885,14,5.9,,,,5,1,,1,1,1,,
2004,10,27,20,34,36.8,,ROMANIA: BUCHAREST/ BRAILA; BULGARIA: NORTHERN,45.787,26.622,96,5.8,,,,,,,1,,,,
2004,11,2,10,2,12.8,Tsu,CANADA: VANCOUVER ISLAND,49.277,-128.772,10,6.6,,,,,,,,,,,
2004,11,4,6,22,39.4,,GREECE: CRETE: ANTIKYTHIRA,35.945,23.115,74,5.2,,,,,,,1,,,,
2004,11,8,2,15,58.8,,JAPAN: HONSHU: NIIGATA PREFECTURE,37.396,138.862,10,5.5,,,,8,1,,1,,,,
2004,11,11,21,26,41.1,Tsu,INDONESIA: KEPULAUAN ALOR,-8.152,124.868,10,7.5,,34,1,400,3,,3,781,3,16712,4
2004,11,15,9,6,56.5,,COLOMBIA: BAJO BAUDO/ BUENAVENTURA/ CERRITO,4.695,-77.508,15,7.2,,,,10,1,,3,154,3,,
2004,11,19,23,49,37.1,,IRAN: W,32.023,48.836,37,4.8,,,,,,,1,,,,
2004,11,20,8,7,22,,COSTA RICA: SAN JOSE/ PARRITA/ QUEPOS,9.602,-84.172,16,6.4,,8,1,,2,,3,526,3,,
2004,11,21,11,41,7.7,Tsu,GUADELOUPE: BASSE-TERRE/ LES SAINTES,15.679,-61.706,14,6.3,,1,1,12,1,,2,,3,,
2004,11,22,4,1,30.4,,IRAN: KHORRAMABAD/ POL-E DOKHTAR,33.297,47.977,36,5,,,,,2,,1,,1,,1
2004,11,22,20,26,23.9,,NEW ZEALAND: INVERCARGILL/ SOUTHLAND/ OTAGO,-46.676,164.721,10,7.1,,,,,,,1,,,,
2004,11,24,22,59,40,,ITALY: NORTHERN: BRESCIA,45.626,10.559,17,5.1,,,,9,1,,2,,3,,
2004,11,26,2,25,3.3,,INDONESIA: NABIRE,-3.609,135.404,10,7.1,8,32,1,130,3,55,4,328,3,,
2004,11,28,18,32,14.1,Tsu,JAPAN: HOKKAIDO: BEKKAI/ KUSHIRO/ NEMOURO,43.006,145.119,39,7,,,,24,1,,1,,,,1
2004,12,1,17,42,24.7,,ALGERIA: BOUMERDAS,36.848,3.448,10,4.5,,,,15,1,,1,,,,
2004,12,2,19,16,34.6,,TRINIDAD: MAYARO,10.49,-61.48,49,5.8,,,,,,,1,,,,
2004,12,5,1,52,37.2,,GERMANY: EMMENDINGEN/ FREIBURG IM BREISGAU,48.115,8.077,10,4.8,5,,,,,,1,,,,
2004,12,5,8,30,59.5,,ALGERIA: ZEMMOURI,36.865,3.421,10,4.5,,,,46,1,,,,,,
2004,12,6,14,15,11.8,,JAPAN: HOKKAIDO: KUSHIRO,42.9,145.228,35,6.8,,,,4,1,,,,,,
2004,12,9,8,49,0.2,,INDIA: HAILAKANDI/ CACHAR,24.757,92.539,35,5.4,,,,,2,,1,,,,
2004,12,14,5,56,10,,JAPAN: HOKKAIDO: OBIRO/ HABORO/ TOMAMAE,44.119,141.793,10,5.8,,,,3,1,,1,,,,
2004,12,20,23,2,12.4,,TURKEY: MARMARIS,37.042,28.206,5,5.4,,,,3,1,,1,,,,
2004,12,23,14,59,4.4,Tsu,AUSTRALIA: MACQUARIE ISLAND,-49.312,161.345,10,8.1,,,,,,,,,,,
2004,12,26,0,58,53.4,Tsu,INDONESIA: SUMATRA: OFF WEST COAST,3.295,95.982,30,9.1,,1001,4,,3,10000,4,,3,,3
2005,1,10,18,47,30.1,,IRAN: GORGAN,37.103,54.574,32,5.4,,,,110,3,,,,,,
2005,1,19,6,11,36.4,Tsu,JAPAN: EAST COAST HONSHU,34.064,141.491,28,6.6,,,,,,,,,,,
2005,1,20,18,56,30.7,,NEW ZEALAND: NORTH ISLAND,-41.223,175.21,39,5.3,,,,,,,1,,,,
2005,1,23,20,10,12.1,,INDONESIA: SULAWESI: PALU,-1.198,119.933,11,6.3,,1,1,4,1,,2,,,,
2005,1,24,23,23,26.1,,ECUADOR: NEAR WEST COAST: PUERTO LOPEZ/ SALANGO,-1.364,-80.785,17,6.1,,,,,,,2,,2,,
2005,1,25,16,30,38.9,,CHINA: YUNNAN PROVINCE: SIMAO,22.526,100.709,12,4.8,,,,3,1,,1,,,,
2005,1,25,16,44,16.1,,TURKEY: HAKKARI,37.622,43.703,41,5.9,,2,1,22,1,,1,,,,
2005,1,29,7,41,31,,SPAIN: LA PACA/ ZARCILLA DE RAMOS,37.91,-1.82,5,4.4,,,,,,,2,,,,
2005,2,2,5,55,18.2,,INDONESIA: JAVA: GARUT,-7.037,107.819,15,4.8,,1,1,,2,,2,,2,,2
2005,2,14,18,5,59.3,Tsu,GUADELOUPE,15.775,-61.744,12,5.8,,,,,,,,,,,
2005,2,14,23,38,8.6,,CHINA: XINJIANG PROVINCE: WUSHI,41.728,79.44,22,6.1,,,,,,,3,6000,4,,
2005,2,15,11,15,11.7,,INDIA: KHASPUR,24.55,92.524,35,5.1,,,,,,,1,,,,
2005,2,22,2,25,22.9,,IRAN: KERMAN PROVINCE: ZARAND,30.754,56.816,14,6.4,,612,3,1411,4,,4,8000,4,8000,4
2005,3,2,11,12,14.9,,PAKISTAN: QUETTA,30.378,68.038,52,4.9,,,,1,1,,1,,,,
2005,3,9,10,15,31.8,,SOUTH AFRICA: KLERKSDORP/ STILFONTEIN,-26.913,26.789,5,4.3,,2,1,58,2,,2,,,,
2005,3,12,7,36,12.1,,TURKEY: CAT/ KARLIOVA,39.44,40.978,11,5.6,,,,16,1,,2,,,,
2005,3,13,3,31,23,,IRAN: SARAVAN,27.095,61.887,54,6,,,,,,,1,,,,
2005,3,14,1,55,55.6,,TURKEY: EASTERN: BINGOL PROVINCE,39.354,40.89,5,5.8,,,,18,1,,3,,2,,2
2005,3,14,9,43,49.1,,INDIA: MAHARASHTRA: KOLHAPUR/ RATNAGIRI/ SATARA,17.145,73.73,10,4.9,,,,45,1,,2,,,,
2005,3,15,2,7,6.8,,INDIA: MAHARASHTRA: DHEBEWADI,17.072,73.668,10,4.3,,,,,,,1,,,,
2005,3,20,1,53,41.8,,JAPAN: KYUSHU: FUKUOKA/ GENKAI,33.807,130.131,10,6.6,,1,1,500,3,,2,65,2,,
2005,3,28,16,9,36.5,Tsu,INDONESIA: SUMATERA: SW,2.085,97.108,30,8.6,,1303,4,340,3,,4,300,3,300,3
2005,4,10,10,29,11.2,Tsu,INDONESIA: PADANG,-1.644,99.607,19,6.7,5,,,,,,,,,,
2005,6,13,22,44,33.9,,CHILE: TARAPACA,-19.987,-69.197,116,7.7,,11,1,200,3,,,544,3,,
2005,6,15,2,50,53.1,Tsu,CALIFORNIA: OFF COAST NORTHERN,41.301,-125.97,10,7.2,4,,,,,,,,,,
2005,7,5,1,52,2.9,,INDONESIA: SUMATRA: NIAS ISLAND: GUNUNGSITOLI,1.819,97.082,21,6.7,,,,,,,1,,,,
2005,7,9,23,59,17,,INDONESIA: SULAWESI: DONGGALA,-1.174,119.963,32,5.9,,,,,,,1,6,1,6,1
2005,7,10,13,10,12.1,,ALBANIA: TROPOJE,42.389,19.812,4,5.2,,,,,,,1,,1,,
2005,7,18,2,4,59.8,,INDONESIA: TIMOR: TIMOR TENGAH UTARA,-9.948,124.48,10,5.3,,,,,,,1,,1,,1
2005,7,23,7,34,56.7,,JAPAN: HONSHU: TOKYO,35.498,139.982,61,5.9,,,,27,1,,1,1,1,,
2005,7,24,15,42,6.2,,INDIA: ANDAMAN ISLANDS/ NICOBAR ISLANDS,7.92,92.19,16,7.2,,,,,,,1,,1,,1
2005,7,25,15,43,41.1,,CHINA: DAQING,46.827,125.058,48,4.7,,1,1,12,1,,,,,,
2005,7,26,4,8,37.1,,MONTANA: DILLON/ SILVER STAR/ TWIN BRIDGES,45.365,-112.615,13,5.6,6,,,,,,1,,,,
2005,7,30,21,45,,,TURKEY: BAHCEKARADALAK/ SIRAPINAR/ YENIYAPANSEYHLI,39.437,33.089,5,5.3,,,,,,,1,,,,
2005,8,5,14,14,48,,CHINA: YUNNAN PROVINCE: HUIZE,26.569,103.036,42,4.8,,,,9,1,,2,3700,4,3700,4
2005,8,5,18,7,13.8,,VIETNAM: HO CHI MINH CITY,9.985,108.383,10,4.5,,,,,,,1,,,,
2005,8,9,5,9,20.8,,IRAN: FIRUZABAD,28.85,52.56,10,5.1,,,,,,,1,,,,
2005,8,13,4,58,44.8,,CHINA: YUNNAN PROVINCE: WENSHAN,23.627,104.103,10,4.5,,,,26,1,,1,,2,,2
2005,8,14,2,39,40.3,,CHILE: TARAPACA,-19.78,-68.98,11,5.8,,,,,,,1,,,,
2005,8,14,6,33,32.5,,INDIA: MAHARASHTRA,17.398,74.118,35,4.4,7,,,,,,2,,,,
2005,8,16,2,46,28.4,Tsu,JAPAN: EAST COAST HONSHU,38.276,142.039,36,7.2,,,,56,2,,1,1,1,,
2005,8,16,3,45,54.1,,INDIA: UTTARANCHAL: UTTARKAHI,30.924,78.56,43,4.4,6,,,,,,1,,1,,1
2005,8,30,8,53,17.4,,INDIA: MAHARASHTRA: AMBEGHAR/ DICHOLI/ KISRULE,17.067,73.773,10,4.7,6,,,,,,1,,,,
2005,9,9,7,26,43.7,,PAPUA NEW GUINEA: NEW IRELAND,-4.539,153.474,90,7.7,,,,,,,,,,,
2005,9,24,19,24,2.6,,ETHIOPIA: DABBAHU,12.471,40.634,12,5.6,,,,,,,,,,,
2005,9,26,1,55,37.6,,PERU: LAMAS/ CHACHAPOYAS/ MOYOBAMBA/ TARAPOTA,-5.678,-76.398,115,7.5,,5,1,60,2,,2,,3,,
2005,10,1,22,19,51.3,,PERU: MOQUEGUA,-16.635,-70.794,20,5.3,,,,10,1,,1,300,3,,
2005,10,8,3,50,40.8,,PAKISTAN: MUZAFFARABAD/ URI/ ANANTNAG/ BARAMULA,34.539,73.588,26,7.6,8,86000,4,69000,4,5200,4,,3,,3
2005,10,20,21,40,4,,TURKEY: IZMIR,38.152,26.751,10,5.9,,1,1,15,1,,1,,2,,2
2005,10,24,17,35,33.8,,ECUADOR: BAEZA,-0.507,-77.745,35,4.8,6,,,,,,1,,,,
2005,10,27,11,18,57.3,,CHINA: GUANGXI PROVINCE,23.604,107.798,10,4.2,,1,1,1,1,,1,,1,,
2005,10,31,2,10,28.7,,PERU: N,-5.852,-78.704,40,5.4,,,,,,,,20,1,,
2005,11,14,21,38,51.4,Tsu,JAPAN: EAST COAST HONSHU,38.107,144.896,11,7,,,,,,,,,,,
2005,11,26,0,49,37.6,,CHINA: JIANGXI: JIUJIANG/ RUICHANG,29.695,115.689,10,5.2,,16,1,8000,4,,3,150000,4,,
2005,11,26,15,56,55,,TURKEY: DOGANYOL,38.26,38.814,9,4.4,,,,,,,1,,,,
2005,11,27,10,22,19.1,,IRAN: QESHM/ ZIRANG,26.774,55.858,10,6,,13,1,100,2,,2,,,,
2005,12,5,12,19,56.6,,CONGO: KALEMIE,-6.224,29.83,22,6.8,,6,1,,,,1,300,3,,
2005,12,12,21,47,46,,AFGHANISTAN: TILI/ JALALABAD/ BADAKHSHAN,36.357,71.093,225,6.5,,5,1,1,1,,1,100,2,100,2
2005,12,14,7,9,54.1,,INDIA: JAUSARI/ CHAMOLI/ NANDPRAYAG,30.476,79.255,44,5.3,,1,1,4,1,,2,1,1,1,1
2005,12,24,3,56,7.3,,TURKEY: AKHISAR,38.804,26.783,14,4.3,,,,,,,1,,,,
2006,1,8,11,34,55.6,,GREECE: SOUTHERN,36.311,23.212,66,6.7,,,,3,1,,1,,1,,
2006,1,27,16,58,53.6,,INDONESIA: BANDA SEA,-5.473,128.131,397,7.6,,,,,,,,,,,
2006,2,14,0,55,25,,INDIA: SIKKIM,27.382,88.388,30,5.3,,2,1,2,1,,1,,,,
2006,2,20,17,20,9,,GREECE-BULGARIA BORDER REGION,41.708,25.544,10,4.6,,,,2,1,,,,1,,1
2006,2,22,22,19,7.8,,MOZAMBIQUE,-21.324,33.583,11,7,,4,1,36,1,,2,294,3,,
2006,2,23,20,4,53.5,,BHUTAN: TASHIGANG,26.912,91.705,10,5.8,,,,,,,1,126,3,126,3
